,Gender,Umur,Profesi,Penghasilan,Frekuensi Belanja Online,Fashion,Groceries,HP,PC,Elektronik,Kosmetik,Makanan,Pulsa,Pesawat,Kereta,Hobi,Hotel,Konser,Wisata,Bioskop,Kendaraan Umum,Preferensi Toko Online 1,Preferensi Toko Online 2,Preferensi Toko Online 3,Preferensi Booking Online 1,Preferensi Booking Online 2,Preferensi Booking Online 3,Gojek Motor,Grab Motor,Uber Motor,Gojek Car,Uber Car,Grab Car,Grab Taxi
11,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,11.0,10.0,11.0,14.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
12,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,2.0,6.0,8.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
13,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,11.0,2.0,8.0,9.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
14,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,11.0,2.0,3.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
15,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,8.0,11.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
16,1.0,6.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
17,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
18,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,11.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
19,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,11.0,2.0,3.0,13.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
20,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,11.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
21,2.0,5.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
22,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,11.0,2.0,6.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
23,2.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,11.0,1.0,2.0,13.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
24,2.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,9.0,11.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
25,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,9.0,11.0,1.0,2.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,9.0,11.0,2.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
27,1.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
28,1.0,6.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,3.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
29,1.0,6.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,11.0,2.0,5.0,13.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
30,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,11.0,2.0,4.0,13.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
31,2.0,6.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,9.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
32,2.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,11.0,0.0,2.0,13.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
33,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,2.0,10.0,11.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0
34,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,11.0,2.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
35,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,11.0,2.0,6.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
36,2.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,11.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
37,1.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,5.0,1.0,3.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
38,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,2.0,3.0,6.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
39,1.0,5.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,6.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
40,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,7.0,11.0,2.0,3.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
41,1.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,5.0,2.0,3.0,8.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
42,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,11.0,2.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
43,1.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,7.0,2.0,3.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
44,1.0,4.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,2.0,3.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
45,1.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,2.0,3.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
46,2.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,11.0,0.0,2.0,8.0,9.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
47,2.0,4.0,2.0,4.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,11.0,1.0,8.0,10.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0
48,1.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
49,2.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,11.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,2.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,7.0,2.0,13.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
52,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,11.0,2.0,6.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
53,2.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,11.0,0.0,0.0,3.0,6.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
54,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,11.0,2.0,3.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
55,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,9.0,11.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,11.0,2.0,6.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,2.0,8.0,9.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
58,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
59,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,8.0,1.0,2.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
61,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,7.0,11.0,2.0,8.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,5.0,9.0,2.0,3.0,11.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
63,2.0,5.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,11.0,1.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
64,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,11.0,2.0,8.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,11.0,3.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,11.0,0.0,2.0,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
67,1.0,6.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,8.0,11.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
68,1.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,11.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
69,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,9.0,2.0,12.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
70,2.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
71,1.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,0.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
72,0.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,11.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
73,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,6.0,11.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
74,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,11.0,2.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
75,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,8.0,11.0,1.0,2.0,8.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0
76,2.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,5.0,1.0,2.0,11.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
77,2.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,1.0,2.0,10.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0
78,2.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,11.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
79,0.0,0.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,8.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
80,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
81,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,11.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
82,2.0,6.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,11.0,0.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
83,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,11.0,0.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
84,2.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,0.0,0.0,1.0,3.0,6.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0
85,2.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,5.0,0.0,2.0,3.0,11.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
86,1.0,6.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
87,1.0,6.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,6.0,8.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0
88,1.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,8.0,2.0,3.0,11.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
89,1.0,6.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,6.0,8.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
90,2.0,6.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,5.0,6.0,11.0,1.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
91,2.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,11.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
92,2.0,4.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,9.0,2.0,3.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
93,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,11.0,2.0,3.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
94,2.0,5.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,6.0,6.0,8.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
95,1.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,8.0,11.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
96,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,6.0,9.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0
97,1.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0
